MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
50910;-0.114052;0.000163;0.265905;0.000152;0.0266199;0.0000111;1.8996;0.0081;-0.030;0.066;-0.247;0.298;-.114090;.265490;.0266580;0.137;-0.080
50911;-0.114068;0.000163;0.268372;0.000160;0.0246953;0.0000112;1.9507;0.0078;-0.077;0.066;-0.137;0.298;-.114030;.268270;.0247080;-0.042;0.040
50912;-0.113920;0.000165;0.270993;0.000160;0.0227316;0.0000111;1.9623;0.0078;-0.074;0.066;-0.022;0.298;-.113910;.270980;.0227410;-0.201;-0.015
50913;-0.113750;0.000164;0.273812;0.000153;0.0207822;0.0000109;1.9392;0.0075;-0.020;0.066;0.060;0.298;-.113910;.273640;.0207910;-0.274;-0.123
50914;-0.113649;0.000177;0.276769;0.000148;0.0188440;0.0000102;1.9437;0.0070;0.065;0.107;0.087;0.298;-.113670;.276770;.0188450;-0.317;-0.156
50915;-0.113771;0.000138;0.279692;0.000145;0.0168920;0.0000088;1.9565;0.0061;0.140;0.128;0.061;0.298;-.113640;.279590;.0168970;-0.256;-0.127
50916;-0.114139;0.000141;0.282479;0.000112;0.0149455;0.0000068;1.9257;0.0057;0.167;0.152;0.007;0.298;-.114090;.282260;.0149670;-0.198;0.015
50917;-0.114615;0.000144;0.285136;0.000101;0.0130576;0.0000074;1.8438;0.0048;0.124;0.152;-0.061;0.298;-.114540;.285160;.0130720;-0.104;-0.042
50918;-0.114992;0.000147;0.287757;0.000099;0.0112559;0.0000067;1.7678;0.0051;0.007;0.152;-0.132;0.298;-.114800;.287640;.0112440;0.039;-0.028
50919;-0.114883;0.000153;0.290374;0.000098;0.0095198;0.0000069;1.6983;0.0049;-0.123;0.152;-0.164;0.298;-.114880;.290140;.0095240;0.279;-0.088
50920;-0.114514;0.000156;0.293070;0.000094;0.0078515;0.0000072;1.6521;0.0055;-0.234;0.117;-0.140;0.298;-.114520;.292890;.0078650;0.459;-0.011
50921;-0.114044;0.000135;0.295901;0.000096;0.0061944;0.0000085;1.6695;0.0058;-0.318;0.134;-0.066;0.298;-.113800;.295860;.0061990;0.530;0.004
50922;-0.113686;0.000095;0.298762;0.000096;0.0044973;0.0000092;1.7326;0.0062;-0.378;0.150;0.014;0.298;-.113500;.298690;.0044940;0.378;-0.047
50923;-0.113572;0.000105;0.301539;0.000113;0.0027133;0.0000089;1.8435;0.0062;-0.407;0.249;0.033;0.298;-.113460;.301360;.0027230;0.184;-0.212
50924;-0.113608;0.000096;0.304264;0.000110;0.0007940;0.0000082;2.0033;0.0060;-0.368;0.216;-0.021;0.298;-.113590;.304190;.0008070;0.022;-0.217
50925;-0.113666;0.000092;0.307037;0.000121;-0.0013013;0.0000080;2.1872;0.0058;-0.241;0.216;-0.092;0.298;-.113720;.307070;-.0012960;-0.076;-0.092
50926;-0.113706;0.000082;0.309926;0.000124;-0.0035811;0.0000082;2.3732;0.0056;-0.112;0.216;-0.106;0.298;-.113540;.309850;-.0035750;-0.180;0.141
50927;-0.113652;0.000085;0.312690;0.000127;-0.0060374;0.0000077;2.5285;0.0056;-0.035;0.233;-0.069;0.298;-.113670;.312610;-.0060240;-0.324;0.066
50928;-0.113463;0.000083;0.315118;0.000126;-0.0086012;0.0000075;2.5733;0.0053;-0.002;0.233;-0.018;0.298;-.113670;.315030;-.0085900;-0.414;0.075
50929;-0.113113;0.000051;0.317251;0.000093;-0.0111362;0.0000074;2.4748;0.0060;0.010;0.315;0.032;0.298;-.113000;.317070;-.0111280;-0.409;0.125
50930;-0.112770;0.000081;0.319342;0.000117;-0.0135196;0.0000093;2.2828;0.0062;0.007;0.315;0.079;0.298;-.112520;.319060;-.0135040;-0.209;0.186
50931;-0.112700;0.000081;0.321586;0.000099;-0.0156940;0.0000099;2.0673;0.0064;-0.009;0.315;0.105;0.298;-.112730;.321280;-.0156750;-0.047;0.193
50932;-0.112924;0.000070;0.323947;0.000094;-0.0176681;0.0000089;1.8934;0.0065;-0.017;0.315;0.101;0.298;-.113080;.323640;-.0176610;0.040;0.022
50933;-0.113193;0.000070;0.326207;0.000083;-0.0195087;0.0000085;1.8032;0.0064;0.005;0.315;0.065;0.298;-.113090;.326010;-.0195140;-0.083;0.017
50934;-0.113340;0.000076;0.328305;0.000084;-0.0212971;0.0000091;1.7809;0.0055;0.056;0.315;0.005;0.298;-.113480;.328220;-.0213010;-0.168;0.046
50935;-0.113453;0.000086;0.330303;0.000083;-0.0230783;0.0000069;1.7821;0.0073;0.112;0.060;-0.063;0.298;-.113460;.330150;-.0230680;-0.146;0.182
50936;-0.113645;0.000063;0.332309;0.000070;-0.0248609;0.0000115;1.7822;0.0060;0.146;0.081;-0.120;0.298;-.113500;.332250;-.0248360;-0.010;0.167
50937;-0.113920;0.000076;0.334413;0.000100;-0.0266417;0.0000097;1.7793;0.0072;0.142;0.171;-0.156;0.298;-.113900;.334350;-.0266060;0.158;0.190
50938;-0.114204;0.000077;0.336674;0.000100;-0.0284200;0.0000086;1.7779;0.0065;0.100;0.148;-0.158;0.298;-.114060;.336460;-.0283880;0.141;0.149
50939;-0.114424;0.000074;0.339073;0.000102;-0.0302112;0.0000086;1.8176;0.0060;0.021;0.148;-0.113;0.298;-.114270;.338950;-.0301970;-0.025;0.106
50940;-0.114517;0.000078;0.341382;0.000098;-0.0320548;0.0000083;1.8561;0.0060;-0.065;0.148;-0.091;0.298;-.114420;.341170;-.0320350;-0.231;0.042
50941;-0.114448;0.000073;0.343530;0.000094;-0.0339029;0.0000083;1.8333;0.0059;-0.134;0.165;-0.090;0.298;-.114350;.343360;-.0338790;-0.369;-0.053
50942;-0.114229;0.000066;0.345569;0.000088;-0.0357168;0.0000085;1.7968;0.0048;-0.167;0.165;-0.111;0.298;-.114230;.345460;-.0357040;-0.337;-0.210
50943;-0.113844;0.000064;0.347580;0.000060;-0.0374934;0.0000050;1.7510;0.0050;-0.166;0.315;-0.152;0.298;-.113610;.347380;-.0374910;-0.287;-0.245
50944;-0.113341;0.000059;0.349639;0.000043;-0.0392089;0.0000052;1.6757;0.0031;-0.148;0.315;-0.185;0.298;-.113120;.349430;-.0392160;-0.182;-0.161
50945;-0.112834;0.000064;0.351757;0.000043;-0.0408384;0.0000038;1.5814;0.0036;-0.121;0.315;-0.188;0.298;-.112850;.351680;-.0408540;-0.056;-0.234
50946;-0.112349;0.000064;0.353901;0.000046;-0.0423711;0.0000049;1.4853;0.0039;-0.078;0.315;-0.167;0.298;-.112340;.353770;-.0423860;0.060;-0.223
50947;-0.111867;0.000060;0.355995;0.000045;-0.0438181;0.0000069;1.4165;0.0042;-0.037;0.315;-0.134;0.298;-.111790;.355760;-.0438250;0.255;-0.118
50948;-0.111356;0.000061;0.357975;0.000045;-0.0452248;0.0000069;1.4100;0.0050;-0.013;0.315;-0.092;0.298;-.111280;.357820;-.0452220;0.419;0.005
50949;-0.110889;0.000058;0.359828;0.000050;-0.0466648;0.0000071;1.4838;0.0052;-0.006;0.315;-0.042;0.298;-.110670;.359770;-.0466610;0.613;0.119
50950;-0.110560;0.000053;0.361596;0.000086;-0.0482150;0.0000079;1.6253;0.0046;-0.006;0.315;0.002;0.298;-.110410;.361540;-.0482240;0.626;0.156
50951;-0.110297;0.000062;0.363352;0.000111;-0.0499298;0.0000060;1.8098;0.0067;-0.014;0.150;0.013;0.298;-.110290;.363160;-.0499590;0.464;0.180
50952;-0.110023;0.000065;0.365181;0.000125;-0.0518402;0.0000109;2.0111;0.0061;-0.029;0.123;-0.019;0.298;-.110140;.365110;-.0518730;0.216;0.111
50953;-0.109888;0.000063;0.367164;0.000125;-0.0539464;0.0000106;2.1957;0.0075;-0.041;0.123;-0.079;0.298;-.109960;.367090;-.0539550;-0.062;0.082
50954;-0.109866;0.000065;0.369334;0.000127;-0.0562090;0.0000104;2.3126;0.0074;-0.045;0.123;-0.144;0.298;-.109810;.369190;-.0561900;-0.266;-0.083
50955;-0.109594;0.000079;0.371861;0.000127;-0.0585552;0.0000104;2.3804;0.0073;-0.048;0.123;-0.177;0.298;-.109650;.371850;-.0585430;-0.350;-0.214
50956;-0.109154;0.000075;0.374618;0.000122;-0.0609473;0.0000103;2.3805;0.0079;-0.056;0.123;-0.175;0.298;-.109220;.374630;-.0609400;-0.343;-0.268
50957;-0.108651;0.000069;0.377381;0.000099;-0.0632737;0.0000118;2.2529;0.0067;-0.063;0.315;-0.156;0.298;-.108590;.377330;-.0632740;-0.217;-0.070
50958;-0.108062;0.000074;0.380014;0.000092;-0.0654265;0.0000087;2.0455;0.0073;-0.064;0.315;-0.140;0.298;-.107930;.379900;-.0654430;-0.041;0.043
50959;-0.107588;0.000073;0.382458;0.000092;-0.0673591;0.0000086;1.8211;0.0064;-0.061;0.315;-0.138;0.298;-.107430;.382270;-.0673860;0.072;0.127
50960;-0.107392;0.000072;0.384655;0.000108;-0.0690735;0.0000095;1.6109;0.0075;-0.054;0.315;-0.147;0.298;-.107250;.384510;-.0690950;0.075;-0.003
50961;-0.107343;0.000062;0.386521;0.000125;-0.0705942;0.0000124;1.4405;0.0081;-0.036;0.315;-0.151;0.298;-.107410;.386640;-.0706060;-0.010;-0.183
50962;-0.107071;0.000056;0.388147;0.000127;-0.0719782;0.0000130;1.3411;0.0092;-0.006;0.315;-0.148;0.298;-.107110;.388050;-.0719760;-0.069;-0.232
50963;-0.106469;0.000057;0.389802;0.000126;-0.0732997;0.0000137;1.3117;0.0082;0.022;0.315;-0.133;0.298;-.106410;.389480;-.0732880;-0.072;-0.161
50964;-0.105803;0.000054;0.391682;0.000103;-0.0746155;0.0000099;1.3241;0.0080;0.033;0.315;-0.108;0.298;-.105720;.391520;-.0746120;0.107;-0.125
50965;-0.105236;0.000050;0.393731;0.000109;-0.0759466;0.0000081;1.3327;0.0065;0.028;0.043;-0.089;0.298;-.105150;.393650;-.0759530;0.310;-0.024
50966;-0.104743;0.000055;0.395786;0.000097;-0.0772735;0.0000085;1.3190;0.0053;0.024;0.043;-0.092;0.298;-.104610;.395670;-.0772840;0.293;-0.119
50967;-0.104445;0.000053;0.397708;0.000079;-0.0785842;0.0000068;1.3039;0.0057;0.020;0.043;-0.110;0.298;-.104580;.397600;-.0785930;0.144;-0.127
50968;-0.104509;0.000055;0.399415;0.000086;-0.0798801;0.0000076;1.2851;0.0048;0.004;0.043;-0.114;0.298;-.104650;.399280;-.0798900;-0.107;-0.220
50969;-0.104639;0.000054;0.401000;0.000086;-0.0811478;0.0000068;1.2466;0.0051;-0.021;0.043;-0.104;0.298;-.104610;.400860;-.0811560;-0.196;-0.134
50970;-0.104511;0.000055;0.402565;0.000087;-0.0823583;0.0000067;1.1630;0.0054;-0.032;0.043;-0.104;0.298;-.104480;.402480;-.0823650;-0.244;-0.185
50971;-0.104105;0.000051;0.404144;0.000073;-0.0834603;0.0000084;1.0389;0.0048;-0.019;0.315;-0.124;0.298;-.104060;.404030;-.0834740;-0.158;-0.334
50972;-0.103575;0.000047;0.405740;0.000069;-0.0844350;0.0000069;0.9114;0.0053;0.007;0.315;-0.143;0.298;-.103460;.405670;-.0844450;-0.100;-0.316
50973;-0.102962;0.000047;0.407345;0.000075;-0.0852864;0.0000066;0.7938;0.0055;0.042;0.315;-0.147;0.298;-.102880;.407220;-.0852860;0.042;-0.200
50974;-0.102137;0.000050;0.408964;0.000072;-0.0860349;0.0000086;0.7131;0.0059;0.098;0.315;-0.142;0.298;-.102140;.408820;-.0860440;0.182;-0.112
50975;-0.101192;0.000059;0.410571;0.000074;-0.0867289;0.0000099;0.6813;0.0068;0.170;0.315;-0.128;0.298;-.101130;.410530;-.0867380;0.288;0.090
50976;-0.100433;0.000063;0.412089;0.000077;-0.0874082;0.0000106;0.6815;0.0071;0.230;0.315;-0.105;0.298;-.100270;.412130;-.0873920;0.444;0.153
50977;-0.099930;0.000067;0.413465;0.000091;-0.0881043;0.0000102;0.7188;0.0085;0.259;0.095;-0.080;0.298;-.099840;.413470;-.0880890;0.539;0.261
50978;-0.099327;0.000072;0.414730;0.000098;-0.0888631;0.0000133;0.8080;0.0082;0.258;0.133;-0.072;0.298;-.099300;.414620;-.0888680;0.639;0.334
50979;-0.098309;0.000094;0.415993;0.000113;-0.0897219;0.0000129;0.9019;0.0082;0.232;0.140;-0.087;0.112;-.098200;.415820;-.0897280;0.616;0.287
50980;-0.096942;0.000098;0.417338;0.000110;-0.0906552;0.0000097;0.9608;0.0079;0.161;0.126;-0.120;0.298;-.096830;.417220;-.0906520;0.402;0.194
50981;-0.095277;0.000093;0.418803;0.000107;-0.0916377;0.0000091;1.0022;0.0066;0.040;0.126;-0.152;0.298;-.095290;.418670;-.0916240;0.078;0.112
50982;-0.093566;0.000092;0.420492;0.000110;-0.0926440;0.0000089;0.9969;0.0064;-0.065;0.126;-0.111;0.298;-.093450;.420380;-.0926230;-0.270;-0.156
50983;-0.091703;0.000089;0.422153;0.000104;-0.0936189;0.0000089;0.9539;0.0063;-0.111;0.125;0.026;0.110;-.091580;.422120;-.0936100;-0.415;-0.493
50984;-0.089841;0.000082;0.423653;0.000101;-0.0945438;0.0000090;0.8871;0.0051;-0.108;0.108;0.225;0.115;-.089720;.423670;-.0945390;-0.356;-0.626
50985;-0.088088;0.000060;0.425015;0.000108;-0.0953752;0.0000051;0.7668;0.0057;-0.079;0.050;0.414;0.298;-.087960;.425010;-.0953740;-0.235;-0.387
50986;-0.086374;0.000066;0.426306;0.000102;-0.0960653;0.0000071;0.6101;0.0048;-0.036;0.315;0.489;0.114;-.086300;.426230;-.0960770;-0.055;-0.217
50987;-0.084614;0.000068;0.427636;0.000109;-0.0965988;0.0000082;0.4635;0.0057;0.006;0.315;0.361;0.114;-.084560;.427490;-.0966180;0.020;-0.070
50988;-0.082854;0.000075;0.429103;0.000114;-0.0970168;0.0000090;0.3905;0.0061;0.023;0.315;0.033;0.114;-.082690;.428930;-.0970360;0.062;-0.175
50989;-0.081291;0.000074;0.430670;0.000121;-0.0974019;0.0000091;0.3838;0.0061;-0.009;0.315;-0.286;0.114;-.081120;.430630;-.0974240;0.002;-0.426
50990;-0.079780;0.000077;0.432114;0.000122;-0.0977944;0.0000083;0.4069;0.0067;-0.086;0.055;-0.507;0.298;-.079670;.432110;-.0978250;-0.020;-0.618
50991;-0.078138;0.000080;0.433390;0.000145;-0.0982210;0.0000097;0.4457;0.0071;-0.185;0.055;-0.638;0.298;-.078070;.433380;-.0982420;-0.024;-0.662
50992;-0.076171;0.000088;0.434571;0.000137;-0.0986882;0.0000114;0.4916;0.0069;-0.281;0.201;-0.675;0.298;-.076120;.434520;-.0986920;0.068;-0.636
50993;-0.073769;0.000085;0.435810;0.000141;-0.0992088;0.0000098;0.5513;0.0071;-0.341;0.232;-0.620;0.158;-.073650;.435640;-.0992050;0.205;-0.559
50994;-0.071020;0.000086;0.437245;0.000153;-0.0997891;0.0000086;0.6059;0.0065;-0.336;0.203;-0.485;0.139;-.070940;.437030;-.0997880;0.252;-0.458
50995;-0.068159;0.000082;0.438857;0.000153;-0.1004112;0.0000085;0.6322;0.0061;-0.260;0.203;-0.279;0.139;-.068160;.438840;-.1004110;0.194;-0.476
50996;-0.065487;0.000082;0.440510;0.000157;-0.1010354;0.0000086;0.6041;0.0056;-0.196;0.203;-0.066;0.139;-.065400;.440690;-.1010300;0.094;-0.181
50997;-0.062929;0.000079;0.442159;0.000130;-0.1016005;0.0000073;0.5193;0.0049;-0.150;0.203;0.082;0.139;-.062830;.442190;-.1015890;-0.034;-0.017
50998;-0.060431;0.000080;0.443837;0.000135;-0.1020692;0.0000049;0.4202;0.0043;-0.096;0.204;0.139;0.158;-.060370;.443770;-.1020530;-0.037;0.042
50999;-0.057913;0.000063;0.445544;0.000155;-0.1024428;0.0000046;0.3268;0.0042;-0.035;0.067;0.120;0.298;-.057850;.445490;-.1024230;-0.007;-0.004
51000;-0.055324;0.000098;0.447211;0.000156;-0.1027210;0.0000069;0.2281;0.0042;0.024;0.315;0.055;0.298;-.055190;.447270;-.1027270;-0.097;-0.254
51001;-0.052742;0.000104;0.448731;0.000155;-0.1028991;0.0000071;0.1297;0.0060;0.072;0.315;-0.017;0.298;-.052640;.448880;-.1029200;0.012;-0.269
51002;-0.050192;0.000103;0.450072;0.000152;-0.1029848;0.0000099;0.0445;0.0061;0.113;0.315;-0.071;0.298;-.050110;.450080;-.1030040;0.170;-0.093
51003;-0.047709;0.000113;0.451334;0.000154;-0.1030059;0.0000099;0.0129;0.0071;0.142;0.315;-0.088;0.298;-.047580;.451160;-.1030060;0.221;0.089
51004;-0.045204;0.000107;0.452722;0.000144;-0.1030439;0.0000102;0.0813;0.0067;0.147;0.315;-0.062;0.298;-.045060;.452530;-.1030150;0.257;0.319
51005;-0.042690;0.000103;0.454317;0.000134;-0.1031971;0.0000090;0.2354;0.0066;0.122;0.315;-0.015;0.298;-.042630;.454360;-.1031510;0.311;0.196
51006;-0.040157;0.000073;0.455998;0.000120;-0.1035251;0.0000083;0.4207;0.0062;0.077;0.315;0.018;0.298;-.040080;.456150;-.1034910;0.405;0.164
51007;-0.037663;0.000061;0.457629;0.000119;-0.1040323;0.0000084;0.5875;0.0052;0.028;0.094;0.015;0.108;-.037610;.457660;-.1040260;0.450;-0.054
51008;-0.035237;0.000060;0.459161;0.000113;-0.1046837;0.0000062;0.7053;0.0052;-0.016;0.095;-0.012;0.298;-.035190;.459100;-.1046950;0.403;-0.081
51009;-0.032905;0.000056;0.460551;0.000106;-0.1054215;0.0000063;0.7591;0.0046;-0.059;0.095;-0.050;0.298;-.032820;.460470;-.1054320;0.187;-0.157
51010;-0.030688;0.000055;0.461669;0.000101;-0.1061761;0.0000069;0.7356;0.0046;-0.102;0.095;-0.111;0.298;-.030630;.461620;-.1061790;-0.066;-0.167
51011;-0.028527;0.000060;0.462546;0.000098;-0.1068684;0.0000066;0.6392;0.0049;-0.112;0.110;-0.229;0.109;-.028420;.462510;-.1068730;-0.293;-0.318
51012;-0.026433;0.000066;0.463339;0.000094;-0.1074418;0.0000070;0.5047;0.0044;-0.083;0.110;-0.377;0.109;-.026280;.463320;-.1074530;-0.344;-0.512
51013;-0.024448;0.000079;0.464161;0.000071;-0.1078749;0.0000059;0.3615;0.0060;-0.036;0.113;-0.490;0.298;-.024350;.464190;-.1078910;-0.286;-0.458
51014;-0.022498;0.000108;0.465021;0.000082;-0.1081668;0.0000097;0.2245;0.0062;0.004;0.111;-0.536;0.298;-.022400;.465070;-.1081780;-0.156;-0.294
51015;-0.020574;0.000115;0.465895;0.000078;-0.1083336;0.0000110;0.1168;0.0074;0.015;0.111;-0.490;0.298;-.020390;.465930;-.1083390;-0.028;-0.170
51016;-0.018662;0.000107;0.466772;0.000081;-0.1084251;0.0000112;0.0833;0.0078;-0.018;0.111;-0.320;0.298;-.018520;.466820;-.1084240;-0.062;-0.105
51017;-0.016511;0.000104;0.467624;0.000080;-0.1085249;0.0000112;0.1239;0.0079;-0.057;0.111;-0.137;0.298;-.016390;.467730;-.1085030;-0.079;-0.291
51018;-0.014208;0.000101;0.468397;0.000078;-0.1086869;0.0000112;0.2065;0.0082;-0.089;0.111;-0.006;0.298;-.014030;.468560;-.1086470;-0.100;-0.415
51019;-0.011818;0.000096;0.469126;0.000081;-0.1089471;0.0000119;0.3169;0.0080;-0.118;0.095;0.066;0.298;-.011710;.469190;-.1089050;-0.090;-0.481
51020;-0.009274;0.000054;0.469953;0.000064;-0.1093168;0.0000113;0.4158;0.0078;-0.136;0.315;0.083;0.298;-.009170;.469900;-.1092880;-0.058;-0.481
51021;-0.006673;0.000057;0.470966;0.000106;-0.1097648;0.0000102;0.4729;0.0072;-0.138;0.137;0.057;0.298;-.006510;.470970;-.1097590;-0.015;-0.458
51022;-0.004177;0.000119;0.472115;0.000148;-0.1102494;0.0000088;0.4902;0.0074;-0.130;0.112;-0.014;0.298;-.004050;.472140;-.1102550;-0.038;-0.326
51023;-0.001848;0.000122;0.473331;0.000154;-0.1107329;0.0000106;0.4705;0.0068;-0.127;0.112;-0.138;0.298;-.001800;.473270;-.1107300;-0.152;-0.169
51024;0.000221;0.000124;0.474529;0.000153;-0.1111960;0.0000105;0.4675;0.0075;-0.127;0.112;-0.284;0.298;.000400;.474440;-.1111900;-0.413;-0.091
51025;0.002125;0.000122;0.475575;0.000157;-0.1116729;0.0000106;0.4796;0.0074;-0.118;0.112;-0.364;0.298;.002240;.475590;-.1116620;-0.697;-0.056
51026;0.003982;0.000118;0.476450;0.000160;-0.1121394;0.0000105;0.4444;0.0070;-0.096;0.112;-0.361;0.298;.004030;.476470;-.1121250;-0.890;-0.042
51027;0.005890;0.000139;0.477097;0.000165;-0.1125547;0.0000092;0.3883;0.0084;-0.072;0.315;-0.322;0.298;.006030;.477150;-.1125390;-0.846;-0.269
51028;0.007787;0.000096;0.477517;0.000122;-0.1129201;0.0000130;0.3444;0.0055;-0.052;0.315;-0.271;0.298;.007910;.477580;-.1129010;-0.626;-0.346
51029;0.009775;0.000101;0.477852;0.000120;-0.1132494;0.0000060;0.3181;0.0072;-0.031;0.315;-0.211;0.298;.009780;.477780;-.1132420;-0.280;-0.316
51030;0.011968;0.000102;0.478211;0.000120;-0.1135630;0.0000060;0.3117;0.0045;-0.006;0.315;-0.152;0.298;.011970;.478280;-.1135780;0.048;-0.164
51031;0.014116;0.000107;0.478541;0.000108;-0.1138863;0.0000067;0.3457;0.0044;0.015;0.315;-0.123;0.298;.014310;.478670;-.1138850;0.176;0.175
51032;0.016093;0.000116;0.478727;0.000101;-0.1142768;0.0000065;0.4469;0.0038;0.024;0.315;-0.130;0.298;.016310;.478810;-.1142650;0.248;0.515
51033;0.017937;0.000099;0.478695;0.000092;-0.1147979;0.0000035;0.6015;0.0040;0.019;0.315;-0.163;0.298;.018000;.478750;-.1147840;0.271;0.560
51034;0.019926;0.000062;0.478557;0.000090;-0.1154865;0.0000045;0.7763;0.0027;0.004;0.315;-0.219;0.298;.020000;.478530;-.1154780;0.337;0.378
51035;0.022216;0.000106;0.478512;0.000116;-0.1163416;0.0000040;0.9243;0.0032;-0.023;0.052;-0.290;0.298;.022360;.478550;-.1163610;0.285;0.034
51036;0.024763;0.000113;0.478591;0.000116;-0.1173116;0.0000046;1.0016;0.0029;-0.062;0.052;-0.340;0.298;.024920;.478620;-.1172870;0.222;-0.166
51037;0.027587;0.000118;0.478700;0.000120;-0.1183195;0.0000043;1.0030;0.0035;-0.113;0.052;-0.326;0.298;.027750;.478650;-.1183140;0.074;-0.277
51038;0.030549;0.000115;0.478653;0.000114;-0.1192897;0.0000053;0.9207;0.0038;-0.186;0.052;-0.243;0.298;.030740;.478710;-.1193330;-0.158;-0.219
51039;0.033241;0.000123;0.478536;0.000115;-0.1201354;0.0000062;0.7619;0.0048;-0.272;0.052;-0.135;0.298;.033470;.478530;-.1201380;-0.393;-0.219
51040;0.035465;0.000126;0.478393;0.000116;-0.1208024;0.0000081;0.5699;0.0104;-0.349;0.078;-0.039;0.298;.035640;.478380;-.1208020;-0.536;-0.378
51041;0.037418;0.000076;0.478117;0.000077;-0.1212780;0.0000198;0.3864;0.0104;-0.391;0.113;0.031;0.298;.037440;.478200;-.1212930;-0.536;-0.318
51042;0.039463;0.000058;0.477734;0.000082;-0.1215951;0.0000191;0.2625;0.0144;-0.389;0.109;0.056;0.298;.039480;.477780;-.1215910;-0.413;-0.300
51043;0.041696;0.000039;0.477445;0.000079;-0.1218291;0.0000209;0.2168;0.0146;-0.346;0.109;0.009;0.298;.041850;.477460;-.1217910;-0.212;-0.165
51044;0.043957;0.000038;0.477333;0.000093;-0.1220380;0.0000221;0.1988;0.0147;-0.266;0.109;-0.112;0.298;.044010;.477310;-.1220280;-0.086;-0.182
51045;0.046198;0.000032;0.477335;0.000087;-0.1222392;0.0000206;0.2182;0.0153;-0.195;0.109;-0.212;0.298;.046250;.477350;-.1222380;-0.017;-0.186
51046;0.048388;0.000029;0.477301;0.000083;-0.1224980;0.0000212;0.3085;0.0123;-0.146;0.104;-0.264;0.298;.048530;.477440;-.1224530;-0.044;-0.372
51047;0.050444;0.000033;0.477089;0.000086;-0.1228612;0.0000134;0.4139;0.0121;-0.116;0.082;-0.287;0.298;.050550;.477220;-.1228260;-0.015;-0.521
51048;0.052360;0.000047;0.476776;0.000099;-0.1233174;0.0000117;0.4943;0.0078;-0.097;0.052;-0.286;0.298;.052440;.476810;-.1233090;0.012;-0.696
51049;0.054225;0.000049;0.476575;0.000124;-0.1238435;0.0000078;0.5559;0.0069;-0.079;0.123;-0.266;0.144;.054320;.476560;-.1238350;0.037;-0.835
51050;0.056157;0.000065;0.476573;0.000117;-0.1244264;0.0000072;0.6093;0.0054;-0.062;0.111;-0.250;0.126;.056240;.476540;-.1244130;0.002;-0.768
51051;0.058234;0.000067;0.476642;0.000122;-0.1250648;0.0000074;0.6709;0.0053;-0.057;0.111;-0.260;0.126;.058240;.476620;-.1250660;0.001;-0.476
51052;0.060556;0.000068;0.476569;0.000123;-0.1257449;0.0000078;0.6626;0.0053;-0.074;0.111;-0.245;0.126;.060590;.476610;-.1257590;-0.128;-0.124
51053;0.063102;0.000067;0.476464;0.000123;-0.1263660;0.0000075;0.5822;0.0056;-0.079;0.111;-0.201;0.126;.063220;.476500;-.1263670;-0.318;0.088
51054;0.065537;0.000061;0.476421;0.000123;-0.1269236;0.0000080;0.5446;0.0057;-0.061;0.124;-0.146;0.145;.065630;.476440;-.1268960;-0.502;0.194
51055;0.067634;0.000058;0.476379;0.000070;-0.1274700;0.0000086;0.5515;0.0072;-0.042;0.058;-0.111;0.298;.067680;.476380;-.1274620;-0.480;0.195
51056;0.069481;0.000048;0.476188;0.000068;-0.1280299;0.0000120;0.5684;0.0076;-0.028;0.315;-0.115;0.298;.069550;.476230;-.1280370;-0.261;0.141
51057;0.071200;0.000054;0.475724;0.000064;-0.1286116;0.0000126;0.5999;0.0086;-0.009;0.315;-0.130;0.298;.071240;.475620;-.1285890;-0.028;-0.489
51058;0.072924;0.000059;0.474893;0.000062;-0.1292367;0.0000123;0.6526;0.0093;0.012;0.315;-0.124;0.298;.073020;.474780;-.1292390;0.080;-0.202
51059;0.074844;0.000068;0.473714;0.000055;-0.1299267;0.0000137;0.7349;0.0093;0.018;0.315;-0.104;0.298;.074860;.473590;-.1299930;0.104;0.344
51060;0.077180;0.000073;0.472405;0.000060;-0.1307244;0.0000139;0.8707;0.0093;0.000;0.315;-0.087;0.298;.077130;.472220;-.1307450;0.103;0.763
51061;0.079851;0.000071;0.471205;0.000062;-0.1316854;0.0000126;1.0583;0.0090;-0.028;0.315;-0.085;0.298;.079940;.471050;-.1316510;0.138;0.854
51062;0.082516;0.000081;0.470172;0.000080;-0.1328394;0.0000113;1.2412;0.0080;-0.056;0.315;-0.102;0.298;.082560;.470090;-.1328540;0.126;0.789
51063;0.084984;0.000090;0.469276;0.000105;-0.1341525;0.0000099;1.3782;0.0076;-0.079;0.315;-0.141;0.298;.084950;.469130;-.1341840;0.028;0.277
51064;0.087262;0.000093;0.468542;0.000112;-0.1355753;0.0000103;1.4537;0.0070;-0.102;0.315;-0.195;0.298;.087280;.468310;-.1355640;-0.066;-0.034
51065;0.089380;0.000094;0.467961;0.000116;-0.1370340;0.0000099;1.4516;0.0075;-0.124;0.315;-0.253;0.298;.089440;.467860;-.1370290;-0.085;-0.325
51066;0.091418;0.000094;0.467359;0.000119;-0.1384456;0.0000108;1.3507;0.0075;-0.141;0.315;-0.315;0.298;.091430;.467320;-.1384850;-0.111;-0.309
