MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
48657;0.087704;0.000216;0.122177;0.000272;-0.2089558;0.0000115;2.6394;0.0080;0.247;0.159;0.140;0.128;.086900;.120100;-.2091300;0.049;-0.895
48658;0.085126;0.000216;0.121674;0.000272;-0.2116476;0.0000119;2.7366;0.0082;0.136;0.151;0.013;0.119;.084500;.119600;-.2118600;0.139;-0.735
48659;0.082431;0.000212;0.121020;0.000251;-0.2144125;0.0000118;2.7841;0.0075;0.054;0.094;-0.093;0.298;.082000;.119100;-.2146100;0.135;-0.529
48660;0.079753;0.000145;0.120261;0.000202;-0.2171919;0.0000092;2.7599;0.0077;-0.012;0.103;-0.156;0.298;.079400;.118600;-.2173600;0.110;-0.514
48661;0.077054;0.000177;0.119463;0.000228;-0.2199072;0.0000100;2.6606;0.0071;-0.043;0.103;-0.177;0.298;.076700;.118200;-.2200300;0.017;-0.491
48662;0.074260;0.000177;0.118692;0.000228;-0.2224955;0.0000108;2.5086;0.0072;-0.041;0.122;-0.129;0.298;.073900;.117700;-.2225800;-0.012;-0.493
48663;0.071302;0.000113;0.118010;0.000239;-0.2249148;0.0000103;2.3279;0.0067;-0.033;0.133;0.037;0.120;.071100;.117300;-.2249800;-0.001;-0.519
48664;0.068132;0.000124;0.117436;0.000189;-0.2271555;0.0000080;2.1597;0.0065;-0.029;0.131;0.271;0.116;.068100;.116900;-.2272000;0.136;-0.603
48665;0.064775;0.000124;0.116959;0.000189;-0.2292539;0.0000080;2.0505;0.0064;0.006;0.121;0.334;0.109;.065100;.116600;-.2293000;0.277;-0.552
48666;0.061352;0.000159;0.116595;0.000140;-0.2312884;0.0000100;2.0371;0.0062;0.054;0.122;0.241;0.114;.062000;.116300;-.2313500;0.377;-0.365
48667;0.058000;0.000218;0.116366;0.000174;-0.2333678;0.0000095;2.1427;0.0091;0.048;0.108;0.146;0.298;.058900;.116100;-.2334600;0.365;-0.019
48668;0.054809;0.000246;0.116287;0.000155;-0.2356092;0.0000153;2.3546;0.0093;-0.043;0.071;0.126;0.298;.055800;.115900;-.2357400;0.120;0.377
48669;0.051757;0.000246;0.116349;0.000155;-0.2380939;0.0000159;2.6173;0.0102;-0.184;0.064;0.123;0.298;.052600;.115700;-.2382600;-0.180;0.293
48670;0.048805;0.000290;0.116529;0.000149;-0.2408349;0.0000134;2.8532;0.0099;-0.286;0.054;0.085;0.298;.049500;.115700;-.2410200;-0.424;-0.020
48671;0.045894;0.000321;0.116779;0.000342;-0.2437673;0.0000119;2.9900;0.0089;-0.290;0.069;0.044;0.298;.046300;.115600;-.2439800;-0.519;-0.409
48672;0.042913;0.000325;0.117045;0.000331;-0.2467682;0.0000117;2.9867;0.0085;-0.218;0.076;0.028;0.298;.043000;.115500;-.2469800;-0.579;-0.468
48673;0.039778;0.000332;0.117266;0.000296;-0.2496970;0.0000122;2.8523;0.0094;-0.105;0.078;0.066;0.110;.039800;.115500;-.2499100;-0.537;-0.493
48674;0.036474;0.000333;0.117372;0.000203;-0.2524493;0.0000146;2.6473;0.0101;0.022;0.103;0.183;0.151;.036500;.115400;-.2526400;-0.434;-0.410
48675;0.033127;0.000299;0.117297;0.000194;-0.2549883;0.0000160;2.4325;0.0108;0.105;0.113;0.208;0.162;.033200;.115300;-.2551400;-0.344;-0.380
48676;0.029802;0.000295;0.117059;0.000205;-0.2573242;0.0000159;2.2473;0.0125;0.121;0.168;0.083;0.175;.029900;.115300;-.2574300;-0.311;-0.137
48677;0.026518;0.000262;0.116697;0.000198;-0.2595027;0.0000192;2.1213;0.0135;0.083;0.193;-0.085;0.198;.026600;.115200;-.2595300;-0.376;0.046
48678;0.023309;0.000264;0.116286;0.000149;-0.2615790;0.0000219;2.0317;0.0149;0.014;0.176;-0.158;0.183;.023200;.115100;-.2615300;-0.340;0.141
48679;0.020126;0.000267;0.115966;0.000189;-0.2635778;0.0000228;1.9770;0.0186;-0.019;0.176;-0.039;0.183;.019800;.115000;-.2634800;-0.216;0.233
48680;0.016876;0.000283;0.115796;0.000204;-0.2655530;0.0000301;1.9822;0.0179;-0.016;0.192;0.141;0.169;.016400;.115000;-.2654600;-0.069;0.202
48681;0.013486;0.000161;0.115805;0.000229;-0.2675636;0.0000275;2.0516;0.0165;0.005;0.214;0.199;0.178;.013000;.115100;-.2675100;-0.032;0.174
48682;0.009984;0.000153;0.116012;0.000159;-0.2696777;0.0000136;2.1854;0.0145;0.033;0.186;0.152;0.165;.009500;.115200;-.2697000;-0.086;0.171
48683;0.006399;0.000153;0.116402;0.000159;-0.2719472;0.0000093;2.3575;0.0080;0.054;0.168;0.085;0.150;.006000;.115400;-.2720500;-0.146;-0.062
48684;0.002753;0.000135;0.116951;0.000169;-0.2743960;0.0000084;2.5395;0.0075;0.062;0.208;0.033;0.163;.002500;.115700;-.2745600;-0.165;-0.333
48685;-0.000954;0.000172;0.117624;0.000122;-0.2770190;0.0000118;2.6999;0.0072;0.060;0.177;0.014;0.136;-.000900;.116200;-.2772200;0.053;-0.473
48686;-0.004767;0.000172;0.118341;0.000122;-0.2797781;0.0000116;2.8073;0.0084;0.059;0.177;0.018;0.131;-.004400;.116700;-.2799900;0.064;-0.417
48687;-0.008583;0.000172;0.119030;0.000122;-0.2826109;0.0000120;2.8466;0.0095;0.062;0.121;0.046;0.298;-.008000;.117300;-.2828200;0.107;-0.279
48688;-0.012256;0.000181;0.119635;0.000131;-0.2854498;0.0000150;2.8212;0.0122;0.077;0.121;0.090;0.140;-.011500;.118000;-.2856300;0.165;-0.222
48689;-0.015683;0.000206;0.120155;0.000146;-0.2882332;0.0000212;2.7353;0.0131;0.142;0.154;0.193;0.226;-.015000;.118800;-.2883600;0.170;-0.303
48690;-0.018913;0.000209;0.120675;0.000143;-0.2909033;0.0000214;2.5979;0.0153;0.242;0.147;0.308;0.239;-.018400;.119700;-.2910000;0.170;-0.455
48691;-0.022029;0.000261;0.121298;0.000134;-0.2934245;0.0000220;2.4468;0.0153;0.324;0.165;0.321;0.256;-.021900;.120700;-.2935400;0.168;-0.584
